NODE_61_length_112_cov_1177.339233	160	gi|446388692|ref|WP_000466547.1|	328	0	70.1	52	100.00	2e-14	2
NODE_61_length_112_cov_1177.339233	160	gi|9626383|ref|NP_040713.1|	328	0	70.1	52	100.00	2e-14	374840
NODE_61_length_112_cov_1177.339233	160	gi|9626348|ref|NP_040680.1|	337	4	59.7	31	87.10	1e-10	374844
NODE_61_length_112_cov_1177.339233	160	gi|89888618|ref|YP_512378.1|	335	5	58.2	31	83.87	5e-10	511969
NODE_61_length_112_cov_1177.339233	160	gi|242346752|ref|YP_002985214.1|	332	5	57.4	31	83.87	7e-10	10845
NODE_61_length_112_cov_1177.339233	160	gi|89888105|ref|YP_512798.1|	337	5	55.8	31	83.87	3e-09	489829
NODE_61_length_112_cov_1177.339233	160	gi|9625365|ref|NP_039599.1|	330	6	55.1	31	80.65	6e-09	10849
NODE_61_length_112_cov_1177.339233	160	gi|89888653|ref|YP_512418.1|	325	5	45.4	24	79.17	2e-05	489828
NODE_392_length_105_cov_1.047619	153	gi|9626373|ref|NP_040703.1|	513	5	  105	51	90.20	6e-27	374840
NODE_392_length_105_cov_1.047619	153	gi|447057677|ref|WP_001134933.1|	522	5	  105	51	90.20	7e-27	2
NODE_392_length_105_cov_1.047619	153	gi|9626374|ref|NP_040704.1|	341	5	  101	51	90.20	8e-26	374840
NODE_392_length_105_cov_1.047619	153	gi|176120945|ref|NP_040670.2|	554	7	  102	51	86.27	1e-25	374844
NODE_392_length_105_cov_1.047619	153	gi|89888608|ref|YP_512368.1|	553	7	  102	51	86.27	2e-25	511969
NODE_392_length_105_cov_1.047619	153	gi|89888095|ref|YP_512788.1|	556	8	  101	51	84.31	3e-25	489829
NODE_392_length_105_cov_1.047619	153	gi|176120946|ref|NP_040671.2|	341	7	99.8	51	86.27	3e-25	374844
NODE_392_length_105_cov_1.047619	153	gi|89888609|ref|YP_512369.1|	341	7	99.4	51	86.27	4e-25	511969
NODE_392_length_105_cov_1.047619	153	gi|89888096|ref|YP_512789.1|	341	8	98.2	51	84.31	1e-24	489829
NODE_392_length_105_cov_1.047619	153	gi|242346742|ref|YP_002985204.1|	494	25	70.5	51	50.98	4e-14	10845
NODE_427_length_161_cov_1.267081	209	gi|60682388|ref|YP_212532.1|	742	26	30.0	46	36.96	3.3	272559
NODE_427_length_161_cov_1.267081	209	gi|493647732|ref|WP_006599324.1|	127	25	29.3	43	32.56	4.1	113287
NODE_427_length_161_cov_1.267081	209	gi|493827492|ref|WP_006774912.1|	1813	19	29.6	34	44.12	4.8	154046
NODE_427_length_161_cov_1.267081	209	gi|487911977|ref|WP_001985443.1|	419	29	29.3	42	30.95	6.3	1236
NODE_427_length_161_cov_1.267081	209	gi|386637656|ref|YP_006104454.1|	415	13	28.5	23	43.48	9.8	655817
